@@,itemlabel,item,startdate,enddate
+++,Mitre Arsovski,,1992-03-16,1993-03-03
+++,Dragoljub Bocinov,,1993-03-03,1996-01-22
+++,Trajče Krstevski,Q48645088,1996-01-22,2000-02-11
+++,Jovan Andrevski,Q24053611,2000-02-11,2001-06-12
+++,Pande Petrovski,Q3400763,2001-06-12,2001-09-19
+++,Metodi Stamboliski,Q12286565,2001-09-19,2004-03-12
+++,Gjorgji Bojadžiev,Q12276319,2004-03-12,2005-07-06
+++,Miroslav Stojanovski,Q3397553,2005-07-06,2011-08-18
+++,Gorančo Koteski,Q12277169,2011-08-18,2015-08-18
+++,Metodija Veličkovski,Q23953072,2015-08-18,2018-08-18
->,Vasko Gjurchinovski->Vasko Gjurčinovski,Q25483496,2018-08-18,
